Byte Address, Hex, Decimal
387,0x81,129
388,0x81,129
389,0xff,255
390,0xf0,240
391,0x2e,46
392,0x21,33
393,0x2e,46
394,0xf0,240
395,0x81,129
396,0x91,145
397,0x91,145
398,0x91,145
399,0xff,255
400,0x8e,142
401,0x51,81
402,0x31,49
403,0x11,17
404,0xff,255
405,0x4b,75
406,0x11,17
407,0x80,128
408,0x80,128
409,0x80,128
410,0x80,128
411,0xff,255
412,0x7e,126
413,0x81,129
414,0x81,129
415,0x81,129
416,0x7e,126
417,0x7e,126
418,0x81,129
419,0x81,129
420,0x81,129
421,0x7e,126
422,0x42,66
423,0x81,129
424,0x81,129
425,0x81,129
426,0x7e,126
427,0x0,0
428,0x0,0
429,0x0,0
430,0x0,0
431,0x0,0
432,0x61,97
433,0x91,145
434,0x91,145
435,0x91,145
436,0x8e,142
437,0x0,0
438,0x81,129
439,0xff,255
440,0x81,129
441,0x0,0
442,0x0,0
443,0x0,0
444,0x0,0
445,0x0,0
446,0x0,0
447,0xf2,242
448,0x51,81
449,0x91,145
450,0x81,129
451,0x7e,126
452,0xff,255
453,0x20,32
454,0x10,16
455,0xc,12
456,0xff,255
457,0x0,0
458,0x81,129
459,0xff,255
460,0x81,129
461,0x0,0
462,0x3c,60
463,0x42,66
464,0x81,129
465,0x81,129
466,0xff,255
467,0xf0,240
468,0x2e,46
469,0x21,33
470,0x2e,46
471,0xf0,240
472,0x81,129
473,0x91,145
474,0x91,145
475,0x91,145
476,0xff,255
477,0x8e,142
478,0x51,81
479,0x31,49
480,0x11,17
481,0xff,255
482,0x0,0
483,0x0,0
484,0x0,0
485,0x0,0
486,0x0,0
487,0x8e,142
488,0x51,81
489,0x31,49
490,0x11,17
491,0xff,255
492,0x5a,90
493,0x91,145
494,0x91,145
495,0x91,145
496,0xff,255
497,0x3c,60
498,0x42,66
499,0x81,129
500,0x81,129
501,0xff,255
502,0xf0,240
503,0x2e,46
504,0x21,33
505,0x2e,46
506,0xf0,240
507,0x81,129
508,0x91,145
509,0x91,145
510,0x91,145
511,0xff,255
512,0xff,255
513,0xff,255
514,0xff,255
515,0xff,255
516,0xff,255
517,0xff,255
518,0xff,255
519,0xff,255
520,0xff,255
521,0xff,255
522,0xff,255
523,0xff,255
524,0xff,255
525,0xff,255
526,0xff,255
527,0xff,255
528,0xff,255
529,0xff,255
530,0xff,255
531,0xff,255
532,0xff,255
533,0xff,255
534,0xff,255
535,0xff,255
536,0xff,255
537,0xff,255
538,0xff,255
539,0xff,255
540,0xff,255
541,0xff,255
542,0xff,255
543,0xff,255
544,0xff,255
545,0xff,255
546,0xff,255
547,0xff,255
548,0xff,255
549,0xff,255
550,0xff,255
551,0xff,255
552,0xff,255
553,0xff,255
554,0xff,255
555,0xff,255
556,0xff,255
557,0xff,255
558,0xff,255
559,0xff,255
560,0xff,255
561,0xff,255
562,0xff,255
563,0xff,255
564,0xff,255
565,0xff,255
566,0xff,255
567,0xff,255
568,0xff,255
